transcript_ID,fold_induction,family,location
NM_055505,6.01,nuclear receptor,cytosol
NM_008351,57.31,KIN,peroxisome
NM_079142,0.28,TNF,peroxisome
NM_072686,0.36,nuclear receptor,mitochondria
NM_081259,1.0,TGF-B,mitochondria
NM_094434,73.69,nuclear receptor,cytosol
NM_003053,0.64,JUN,peroxisome
NM_072491,0.98,TGF-B,mitochondria
NM_079160,38.48,TER,cytosol
NM_081549,64.95,P53,golgi
NM_060821,0.42,TNF,mitochondria
NM_085932,65.19,KAR,golgi
NM_092298,0.69,MAPK,mitochondria
NM_088458,0.28,TGF-B,peroxisome
NM_062289,23.33,TER,nucleus
NM_018218,63.66,FOS,peroxisome
NM_081018,30.56,TGF-B,ER
NM_074322,13.63,TER,peroxisome
NM_063733,16.85,KIN,nucleus
NM_043550,18.62,LIP,golgi
NM_025942,0.88,TIMP,peroxisome
NM_060916,97.97,KAR,nucleus
NM_083398,0.44,JUN,mitochondria
NM_076748,4.7,nuclear receptor,peroxisome
NM_085258,39.18,TIMP,peroxisome
NM_021100,78.22,KAR,cytosol
NM_048522,10.81,TER,nucleus
NM_075061,98.57,LIP,cytosol
NM_064149,74.23,TNF,mitochondria
NM_052589,0.88,KIN,peroxisome
NM_046616,55.09,MAPK,ER
NM_013700,0.94,KIN,golgi
NM_082220,0.93,LIP,peroxisome
NM_011300,0.82,P53,mitochondria
NM_070055,0.46,LIP,cytosol
NM_025154,0.12,KAR,cytosol
NM_061573,0.16,P53,golgi
NM_039712,0.19,MAPK,golgi
NM_089984,33.99,TER,nucleus
NM_017361,0.48,KAR,ER
NM_038106,25.44,TNF,ER
NM_034580,69.96,TER,cytosol
NM_009110,62.15,TGF-B,peroxisome
NM_087437,85.08,JUN,peroxisome
NM_075218,0.88,JUN,cytosol
NM_047195,0.58,TNF,mitochondria
NM_012182,27.03,TIMP,ER
NM_011918,42.65,LIP,golgi
NM_010644,13.89,KIN,nucleus
NM_047844,0.24,JUN,mitochondria
NM_017475,69.87,P53,golgi
NM_047729,0.97,TER,nucleus
NM_096378,0.48,JUN,nucleus
NM_018712,32.77,JUN,ER
NM_086650,0.98,nuclear receptor,ER
NM_035660,35.63,TNF,nucleus
NM_095035,0.22,TIMP,peroxisome
NM_029169,96.67,TER,mitochondria
NM_058581,56.72,KAR,golgi
NM_075847,0.14,P53,peroxisome
NM_060584,0.66,KIN,cytosol
NM_049465,0.28,nuclear receptor,nucleus
NM_062315,37.31,nuclear receptor,nucleus
NM_010001,0.7,LIP,peroxisome
NM_084082,0.81,KAR,golgi
NM_061908,97.24,KAR,ER
NM_046718,30.77,TIMP,mitochondria
NM_049833,0.66,TNF,ER
NM_080895,23.04,nuclear receptor,ER
NM_028977,18.36,LIP,nucleus
NM_093323,0.95,KIN,ER
NM_068793,0.26,MAPK,cytosol
NM_091923,89.96,LIP,golgi
NM_025037,20.26,MAPK,nucleus
NM_088740,53.79,KAR,peroxisome
NM_067491,0.75,FOS,golgi
NM_080329,15.61,KIN,cytosol
NM_049412,0.15,nuclear receptor,golgi
NM_050769,0.99,LIP,mitochondria
NM_092154,0.61,TNF,mitochondria
NM_014488,0.72,KAR,cytosol
NM_062053,0.7,FOS,mitochondria
NM_079701,0.49,FOS,peroxisome
NM_098791,0.75,LIP,mitochondria
NM_051483,0.34,JUN,mitochondria
NM_067388,28.87,KIN,cytosol
NM_048488,0.74,FOS,mitochondria
NM_053549,0.58,TGF-B,cytosol
NM_098104,0.6,TIMP,golgi
NM_021513,0.12,LIP,cytosol
NM_030839,0.73,LIP,peroxisome
NM_078985,38.4,P53,ER
NM_059608,0.6,KIN,golgi
NM_025348,56.99,TER,golgi
NM_042359,0.93,LIP,ER
NM_008117,0.8,FOS,cytosol
NM_003693,0.71,TNF,cytosol
NM_036398,4.97,KIN,golgi
NM_082441,84.22,JUN,peroxisome
NM_032682,4.85,KIN,mitochondria
NM_041579,0.21,MAPK,mitochondria
NM_093874,0.6,TGF-B,mitochondria
NM_027881,82.69,TGF-B,peroxisome
NM_006860,52.34,FOS,cytosol
NM_085502,0.35,KAR,peroxisome
NM_020251,0.9,TNF,golgi
NM_015206,66.55,TGF-B,nucleus
NM_091046,36.09,KIN,nucleus
NM_024139,35.58,TNF,golgi
NM_071640,33.8,TER,mitochondria
NM_010000,0.16,JUN,nucleus
NM_095886,0.94,P53,ER
NM_080988,0.31,LIP,peroxisome
NM_086288,0.66,nuclear receptor,mitochondria
NM_074356,83.28,MAPK,nucleus
NM_030733,17.52,TGF-B,mitochondria
NM_096689,63.12,KIN,ER
NM_033803,0.67,JUN,ER
NM_024461,7.62,TIMP,mitochondria
NM_096482,56.15,TER,peroxisome
NM_097035,10.21,TIMP,golgi
NM_027689,79.61,KIN,golgi
NM_024307,0.6,TIMP,peroxisome
NM_084665,0.71,TIMP,peroxisome
NM_048601,82.81,MAPK,nucleus
NM_047053,28.63,TIMP,mitochondria
NM_001810,62.47,LIP,cytosol
NM_008813,72.71,JUN,mitochondria
NM_026757,21.49,P53,mitochondria
NM_028399,64.04,TIMP,peroxisome
NM_095113,81.77,KAR,golgi
NM_098136,0.47,FOS,peroxisome
NM_011418,92.22,TIMP,mitochondria
NM_016111,91.69,TIMP,cytosol
NM_099467,0.17,TGF-B,cytosol
NM_086344,0.47,TER,peroxisome
NM_033097,0.78,FOS,cytosol
NM_082227,0.38,FOS,cytosol
NM_024864,46.81,P53,mitochondria
NM_084385,80.44,KIN,ER
NM_083029,0.18,MAPK,ER
NM_079232,78.88,LIP,nucleus
NM_052203,32.46,KAR,golgi
NM_054244,69.38,LIP,ER
NM_022071,4.14,P53,golgi
